Software,Software type,Open_Closed_Src,cpe:/a:apache:solr:5.3,Release,Mainstream Support End,Extended Support End,Db-eng ref,Source ,Secondary Source
Mac OS X 10.11,OS_desktop,CS,cpe:/o:apple:mac_os_x:10.11.0,Sep-15,TBD,TBD,,,
Mac OS X 10.10,OS_desktop,CS,cpe:/o:apple:mac_os_x:10.10.0,Oct-14,TBD,TBD,,,
Mac OS X 10.9,OS_desktop,CS,cpe:/o:apple:mac_os_x:10.9,Oct-13,TBD,TBD,,,
Mac OS X 10.7,OS_desktop,CS,cpe:/o:apple:mac_os_x:10.7.0,Oct-12,Oct-14,Oct-14,,,
Mac OS X 10.8,OS_desktop,CS,cpe:/o:apple:mac_os_x:10.8.0,Jul-12,Jan-16,Jan-16,,,
Windows 3.1,OS_desktop,CS,cpe:/o:microsoft:windows-nt:3.1,Apr-92,Dec-01,Dec-01,,,
Mac OS X 10.6,OS_desktop,CS,cpe:/o:apple:mac_os_x:10.6.0,Aug-09,Feb-14,,,,
Mac OS X 10.5,OS_desktop,CS,cpe:/o:apple:mac_os_x:10.5.0,Oct-07,Jun-11,,,Wikipedia/carnegie melon,
Windows 2000,OS_desktop,CS,cpe:/o:microsoft:windows-nt:2000:sp4,Feb-00,Jun-05,Jul-10,,,
Windows 7,OS_desktop,CS,cpe:/o:microsoft:windows_7:-:-:x64,Jul-09,Jan-15,Jan-20,,,
Windows 8.1,OS_desktop,CS,cpe:/o:microsoft:windows_8.1:-:-:~-~-~-~x64~,Aug-13,Jan-18,Jan-23,,,
Windows XP,OS_desktop,CS,cpe:/o:microsoft:windows_xp::sp3,Aug-01,Apr-09,Apr-14,,,
Windows 10,OS_desktop,CS,cpe:/o:microsoft:windows_10,Jul-15,Oct-20,Oct-25,,,
Windows Vista,OS_desktop,CS,cpe:/o:microsoft:windows_vista,Jan-07,Apr-12,Apr-17,,,
Oracle,Database,CS,cpe:/a:oracle:database:12.1.0.2,Jul-14,Jul-18,Jul-21,Oracle 12 Release 1,DB-engines,http://www.oracle.com/us/support/library/lifetime-support-technology-069183.pdf
MySQL,Database,OS,cpe:/a:oracle:mysql:5.7.11,Oct-15,Oct-20,Oct-23,"MySQL 5.7.14, 5.7.11",DB-engines,
Microsoft SQL Server,Database,CS,cpe:/a:microsoft:sql_server:2014,Apr-14,Sep-19,Jul-24,"SQL Server 2016, 2014 Mjor model in use",DB-engines,https://support.microsoft.com/en-us/lifecycle?C2=1044
MongoDB,Database,OS,cpe:/a:mongodb:mongodb:3.2.8,Jul-16,TBD,TBD,3.2.8,DB-engines,https://www.mongodb.com/support-policy
PostgreSQL,Database,OS,cpe:/a:postgresql:postgresql:9.5.1,May-16,Jan-21,Jan-21,9.5.3,DB-engines,https://www.postgresql.org/support/versioning/
DB2,Database,CS,cpe:/a:ibm:db2:10.5.0.7,Jun-13,TBD,TBD,DB2 Data Server (11.1),DB-engines,http://www-01.ibm.com/support/docview.wss?uid=swg21168270
Cassandra,Database,CS,cpe:/a:apache:cassandra:3.7,Jun-16,,,3.7,DB-engines,
Microsoft Access,Database,CS,cpe:/a:microsoft:access:2013:sp1,Sep-15,Oct-20,Oct-25,15.04229.1024,DB-engines,
SQLite,Database,OS,cpe:/a:sqlite:sqlite:3.8.10.1,Jul-15,,,3.8,DB-engines,http://www.sqlite.org/changes.html
